device_id	reading_time	temp_c	humidity_pct	status
D-GIMRU	2026-01-11T03:37:00	24.93	48.3	WARN
D-0VEA3	2026-01-20T01:02:33	25.11	76.6	OK
D-48WEG	2026-01-09T12:06:26	23.1	60.8	OK
D-B61G9	2026-01-16T20:14:51	24.14	40.4	OK
D-3CJOP	2026-01-10T18:14:31	29.68	52.0	OK
D-UGZ40	2026-01-09T09:35:51	25.35	58.1	OK
D-XVT3O	2026-01-11T22:02:41	22.87	37.0	OK
D-I47C9	2026-01-06T05:25:41	25.24	33.5	OK
D-ZVQLQ	2026-01-17T15:33:56	17.77	62.9	OK
D-B61G9	2026-01-22T22:11:04	27.63	57.0	OK
D-K5GYI	2026-01-13T02:43:03	16.76	47.2	WARN
D-FBQON	2026-01-03T23:45:17	22.39	28.7	WARN
D-VZBMP	2026-01-08T08:48:59	19.98	72.0	OK
D-GIMRU	2026-01-27T07:15:19	24.45	52.5	OK
D-GIMRU	2026-01-30T02:20:37	29.39	38.1	FAIL
D-HJYDA	2026-01-09T05:11:18	28.73	74.9	OK
D-VZBMP	2026-01-06T20:44:48	19.87	50.7	WARN
D-B61G9	2026-01-14T00:31:48	24.04	38.5	OK
D-B61G9	2026-01-18T02:09:59	22.17	71.2	OK
D-T5JZT	2026-01-09T02:00:50	29.42	63.7	WARN
D-HC0DJ	2026-01-28T13:10:54	25.18	61.1	FAIL
D-I47C9	2026-01-02T03:36:36	28.45	77.6	FAIL
D-5F4C6	2026-01-28T06:39:34	27.98	56.9	OK
D-3CJOP	2026-01-13T10:17:27	26.36	42.6	WARN
D-XVT3O	2026-01-20T20:50:41	28.09	29.2	OK
D-K4U9M	2026-01-27T07:51:45	23.5	49.0	OK
D-J9X2H	2026-01-02T15:34:08	25.9	57.0	OK
D-UGZ40	2026-01-18T20:10:23	24.32	64.6	WARN
D-T5JZT	2026-01-10T02:27:45	17.98	36.5	OK
D-K4U9M	2026-01-29T16:44:34	26.59	46.1	OK
D-K4U9M	2026-01-06T16:20:27	24.11	40.7	OK
D-EOXIR	2026-01-23T07:33:35	16.43	46.1	FAIL
D-P66ZV	2026-01-16T21:11:29	25.4	47.5	FAIL
D-48WEG	2026-01-26T23:12:46	16.58	76.5	OK
D-J9X2H	2026-01-07T18:56:32	16.41	72.2	OK
D-K4U9M	2026-01-31T18:31:53	25.97	55.3	FAIL
D-HC0DJ	2026-01-04T05:42:04	18.21	66.7	FAIL
D-BCCD4	2026-01-21T17:24:06	21.54	51.2	OK
D-F7WO9	2026-01-08T22:56:51	29.22	36.0	WARN
D-0VEA3	2026-01-15T07:58:38	26.84	52.7	WARN
D-4JDUD	2026-01-21T09:56:59	22.76	50.3	OK
D-VW8SJ	2026-01-31T12:45:09	25.75	44.1	OK
D-48WEG	2026-01-14T22:22:55	27.75	71.6	FAIL
D-B61G9	2026-01-24T17:51:51	22.7	42.5	WARN
D-XVT3O	2026-01-22T20:58:37	18.82	38.4	WARN
D-VO06V	2026-01-29T23:32:47	16.08	77.0	OK
D-VO06V	2026-01-21T15:59:04	28.52	61.0	WARN
D-ZVQLQ	2026-01-12T16:53:11	26.06	27.8	OK
D-T5JZT	2026-01-25T09:35:14	22.0	31.8	OK
D-VZBMP	2026-01-11T07:24:00	29.73	32.5	FAIL
D-GIMRU	2026-01-09T13:10:06	21.91	73.5	OK
D-VZBMP	2026-01-14T05:02:42	29.78	67.8	OK
D-I47C9	2026-01-02T14:03:28	23.89	53.4	OK
D-J9X2H	2026-01-05T09:35:02	26.91	46.2	OK
D-BCCD4	2026-01-23T15:54:53	26.76	25.7	OK
D-MQ5GL	2026-01-29T03:38:26	25.4	78.1	OK
D-F7WO9	2026-01-11T04:14:32	23.27	76.6	OK
D-6LE9C	2026-01-22T09:50:05	28.85	64.0	OK
D-ZVQLQ	2026-01-25T02:03:10	19.96	71.5	FAIL
D-0VEA3	2026-01-28T20:27:09	24.91	26.8	FAIL
D-VO06V	2026-01-06T01:54:28	18.95	56.6	OK
D-VW8SJ	2026-01-19T08:21:32	22.97	53.8	OK
D-HC0DJ	2026-01-10T18:19:51	29.43	44.3	OK
D-K4U9M	2026-01-27T06:58:04	24.92	61.0	OK
D-4JDUD	2026-01-31T14:18:16	16.95	29.8	FAIL
D-EOXIR	2026-01-03T00:45:29	18.75	44.4	OK
D-PQZDN	2026-01-01T16:46:40	24.09	34.1	FAIL
D-5F4C6	2026-01-04T01:27:45	27.56	42.2	WARN
D-BCCD4	2026-01-31T08:00:33	26.34	57.4	OK
D-P66ZV	2026-01-07T18:33:18	19.46	54.8	WARN
D-I47C9	2026-01-21T07:51:53	29.82	46.4	WARN
D-K5GYI	2026-01-31T17:12:52	21.42	34.1	FAIL
D-VW8SJ	2026-01-16T13:02:17	28.55	71.1	OK
D-P66ZV	2026-01-16T00:52:33	16.23	36.7	FAIL
D-XVT3O	2026-01-23T20:02:16	23.7	54.4	OK
D-5F4C6	2026-01-10T10:31:15	16.3	30.5	OK
D-B61G9	2026-01-12T14:14:36	18.26	66.6	OK
D-EOXIR	2026-01-31T06:24:43	28.22	70.0	OK
D-3NGHB	2026-01-19T16:21:27	26.53	38.3	OK
D-HJYDA	2026-01-01T05:08:37	22.61	44.2	OK
D-FBQON	2026-01-04T21:01:33	23.71	31.4	OK
D-XVT3O	2026-01-06T02:50:45	17.09	50.8	WARN
D-K5GYI	2026-01-17T13:26:01	22.13	49.7	WARN
D-48WEG	2026-01-04T11:16:31	24.3	79.3	FAIL
D-FBQON	2026-01-30T10:56:39	17.89	26.8	OK
D-K5GYI	2026-01-08T13:51:09	23.43	79.0	WARN
D-VZBMP	2026-01-22T06:08:10	19.78	44.7	FAIL
D-P66ZV	2026-01-10T00:21:20	19.34	71.0	OK
D-B61G9	2026-01-01T15:05:56	21.29	51.9	WARN
D-HC0DJ	2026-01-29T20:47:53	28.21	34.3	FAIL
D-48WEG	2026-01-09T11:51:06	21.29	43.8	WARN
D-MQ5GL	2026-01-10T04:36:01	28.93	40.5	WARN
D-48WEG	2026-01-13T13:28:53	25.77	30.2	OK
D-VZBMP	2026-01-12T02:39:50	22.34	67.1	OK
D-F7WO9	2026-01-15T14:02:51	29.62	41.3	FAIL
D-FBQON	2026-01-08T02:21:16	29.76	42.8	WARN
D-EOXIR	2026-01-30T07:10:45	24.03	27.7	OK
D-XVT3O	2026-01-26T06:34:22	21.11	30.7	OK
D-XVT3O	2026-01-06T10:44:32	20.41	48.8	OK
D-GIMRU	2026-01-12T06:33:35	23.61	43.9	OK
D-F7WO9	2026-01-21T18:27:07	20.02	48.1	OK
D-EOXIR	2026-01-18T21:03:53	16.84	47.8	FAIL
D-J9X2H	2026-01-30T12:58:37	23.62	52.7	OK
D-MQ5GL	2026-01-29T07:07:08	19.13	48.9	OK
D-3NGHB	2026-01-24T12:54:43	20.48	77.4	OK
D-0VEA3	2026-01-31T08:52:58	20.19	66.0	OK
D-6LE9C	2026-01-10T20:13:17	25.63	72.0	FAIL
D-VW8SJ	2026-01-08T07:36:46	19.42	59.3	OK
D-96IRX	2026-01-14T12:56:16	26.77	49.9	OK
D-MQ5GL	2026-01-16T09:05:23	28.09	73.1	WARN
D-PQZDN	2026-01-26T18:02:15	29.14	60.1	WARN
D-3CJOP	2026-01-26T23:48:11	23.61	70.3	OK
D-GIMRU	2026-01-09T01:37:22	29.46	79.7	OK
D-F7WO9	2026-01-05T07:18:42	21.29	61.6	WARN
D-P66ZV	2026-01-08T19:14:04	26.01	62.8	WARN
D-VW8SJ	2026-01-23T11:04:35	29.42	38.8	WARN
D-ZVQLQ	2026-01-09T17:33:21	29.34	79.9	WARN
D-J9X2H	2026-01-11T03:38:23	25.58	43.9	OK
D-48WEG	2026-01-28T04:45:27	26.6	66.4	OK
D-B61G9	2026-01-26T13:32:40	17.34	79.5	OK
D-K4U9M	2026-01-06T23:08:01	27.15	33.5	FAIL
D-VO06V	2026-01-05T09:10:46	26.81	64.2	OK
D-K4U9M	2026-01-11T19:43:15	17.95	66.5	OK
D-PQZDN	2026-01-20T00:25:50	18.6	38.2	FAIL
D-VO06V	2026-01-05T14:26:31	28.76	44.8	OK
D-4JDUD	2026-01-14T12:07:55	16.9	54.7	OK
D-VZBMP	2026-01-27T03:42:54	28.57	73.8	OK
D-MQ5GL	2026-01-13T16:24:43	26.72	27.8	OK
D-4JDUD	2026-01-20T12:45:23	19.15	36.2	OK
D-T5JZT	2026-01-08T07:32:04	22.04	35.5	OK
D-PQZDN	2026-01-30T17:27:59	16.13	79.1	FAIL
D-XVT3O	2026-01-27T12:54:33	29.32	44.8	OK
D-B61G9	2026-01-25T10:54:21	24.18	49.0	OK
D-MQ5GL	2026-01-10T10:50:26	18.07	65.7	OK
D-K5GYI	2026-01-26T11:05:50	21.85	71.8	WARN
D-K4U9M	2026-01-27T00:46:22	20.39	41.1	OK
D-5F4C6	2026-01-22T06:36:10	21.41	62.7	FAIL
D-XVT3O	2026-01-27T03:07:29	18.45	26.1	OK
D-PQZDN	2026-01-18T13:10:43	23.62	34.7	FAIL
D-GIMRU	2026-01-15T01:16:06	21.53	76.3	OK
D-6LE9C	2026-01-11T03:53:43	17.09	36.1	OK
D-PQZDN	2026-01-27T21:35:02	20.11	27.3	WARN
D-3NGHB	2026-01-20T03:11:47	29.54	33.4	OK
D-0VEA3	2026-01-11T01:44:14	25.81	47.3	FAIL
D-K5GYI	2026-01-26T00:40:43	27.56	40.6	WARN
D-5F4C6	2026-01-28T17:13:13	17.13	30.0	OK
D-VO06V	2026-01-11T19:18:44	28.02	62.4	OK
D-HC0DJ	2026-01-03T23:08:37	25.99	62.9	WARN
D-B61G9	2026-01-12T09:38:29	26.76	48.7	OK
D-T5JZT	2026-01-14T07:22:29	21.08	42.5	OK
D-5F4C6	2026-01-01T03:05:59	23.47	43.2	FAIL
D-K4U9M	2026-01-19T08:49:27	18.13	74.2	OK
D-MQ5GL	2026-01-06T01:16:33	24.87	53.1	FAIL
D-B61G9	2026-01-04T20:58:20	16.51	65.2	WARN
D-ZVQLQ	2026-01-03T02:59:00	26.36	68.5	OK
D-PQZDN	2026-01-19T21:45:38	28.47	41.3	FAIL
D-J9X2H	2026-01-31T22:19:28	17.45	39.4	OK
D-3CJOP	2026-01-25T19:29:20	27.61	59.3	WARN
D-HJYDA	2026-01-07T12:14:06	28.62	40.3	OK
D-B61G9	2026-01-19T21:03:23	24.77	55.0	OK
D-VZBMP	2026-01-23T20:20:00	28.23	37.1	OK
D-K4U9M	2026-01-04T16:43:28	22.03	28.1	OK
D-K4U9M	2026-01-14T07:00:23	18.14	36.6	FAIL
D-VW8SJ	2026-01-10T11:14:26	20.85	65.8	OK
D-F7WO9	2026-01-04T16:51:16	27.2	60.3	OK
D-I47C9	2026-01-23T12:39:46	26.58	58.9	OK
D-J9X2H	2026-01-09T04:49:06	19.41	61.2	OK
D-EOXIR	2026-01-02T11:27:18	27.77	48.9	OK
D-VO06V	2026-01-27T06:10:49	20.76	76.2	OK
D-P66ZV	2026-01-06T22:12:31	22.99	29.4	WARN
D-VW8SJ	2026-01-16T09:05:11	21.0	65.5	OK
D-3NGHB	2026-01-28T07:50:02	28.87	72.7	OK
D-5F4C6	2026-01-29T02:34:19	18.49	25.3	OK
D-T5JZT	2026-01-27T15:29:05	17.01	68.2	OK
D-K5GYI	2026-01-25T17:02:27	24.21	80.0	OK
D-96IRX	2026-01-06T08:55:52	27.83	73.0	FAIL
D-J9X2H	2026-01-06T20:02:27	29.61	33.7	FAIL
D-B61G9	2026-01-09T01:41:20	20.68	27.5	OK
D-P66ZV	2026-01-03T18:27:47	22.68	37.5	OK
D-VO06V	2026-01-30T03:13:02	16.89	73.8	OK
D-0VEA3	2026-01-03T15:07:14	19.46	78.0	OK
D-4JDUD	2026-01-03T05:23:34	26.39	34.3	OK
D-BCCD4	2026-01-20T07:02:35	27.4	68.4	OK
D-FBQON	2026-01-12T04:22:53	23.08	40.5	OK
D-P66ZV	2026-01-12T06:15:46	22.75	46.6	OK
D-3CJOP	2026-01-29T22:32:06	24.18	39.6	FAIL
D-P66ZV	2026-01-18T07:11:32	26.32	26.1	OK
D-J9X2H	2026-01-26T09:01:57	21.75	39.0	OK
D-5F4C6	2026-01-28T00:30:54	21.76	38.5	OK
D-VW8SJ	2026-01-03T06:32:06	23.21	69.7	OK
D-K5GYI	2026-01-14T05:20:52	29.12	53.1	WARN
D-I47C9	2026-01-06T03:16:29	20.68	26.5	OK
D-HC0DJ	2026-01-28T01:03:40	17.75	36.6	WARN
D-3NGHB	2026-01-06T02:04:08	16.83	27.9	OK
D-5F4C6	2026-01-13T11:36:28	22.59	63.0	FAIL
D-HC0DJ	2026-01-04T11:33:45	22.6	51.6	OK
D-PQZDN	2026-01-01T11:31:03	16.41	64.1	OK
D-6LE9C	2026-01-26T15:01:01	25.51	52.7	OK
D-K4U9M	2026-01-26T17:26:41	21.55	62.1	WARN
D-P66ZV	2026-01-11T02:27:45	22.7	67.9	FAIL
D-6LE9C	2026-01-20T15:41:51	21.28	25.3	OK
D-0VEA3	2026-01-20T02:45:40	21.3	28.2	OK
D-PQZDN	2026-01-23T19:32:49	19.69	33.1	FAIL
D-HC0DJ	2026-01-27T08:54:36	16.02	49.0	FAIL
D-3CJOP	2026-01-25T07:47:22	24.95	44.6	OK
D-GIMRU	2026-01-26T21:32:50	25.5	57.2	OK
D-J9X2H	2026-01-15T20:40:28	19.02	38.6	OK
D-HC0DJ	2026-01-20T12:32:35	16.26	46.8	OK
D-48WEG	2026-01-22T09:59:06	21.23	62.9	WARN
D-B61G9	2026-01-28T05:11:29	20.06	55.7	OK
D-3CJOP	2026-01-05T18:55:56	21.98	47.0	FAIL
D-MQ5GL	2026-01-23T07:51:39	20.41	39.4	FAIL
D-MQ5GL	2026-01-13T01:30:57	20.74	51.8	OK
D-3NGHB	2026-01-30T14:29:05	27.62	77.1	OK
D-P66ZV	2026-01-30T18:31:07	19.08	36.5	FAIL
D-P66ZV	2026-01-18T08:58:45	19.36	45.2	WARN
D-K5GYI	2026-01-26T08:04:45	25.15	79.0	OK
D-3NGHB	2026-01-30T03:09:11	27.28	71.0	OK
D-5F4C6	2026-01-02T11:10:47	17.3	39.0	FAIL
D-48WEG	2026-01-15T18:51:42	22.37	43.1	WARN
D-3CJOP	2026-01-22T19:44:16	27.99	27.0	FAIL
D-BCCD4	2026-01-02T22:25:47	24.06	47.9	FAIL
D-MQ5GL	2026-01-30T06:43:33	20.34	70.3	WARN
D-PQZDN	2026-01-17T07:55:30	24.05	77.0	OK
D-BCCD4	2026-01-19T16:29:40	17.32	76.1	OK
D-P66ZV	2026-01-13T04:13:27	16.3	50.9	WARN
D-FBQON	2026-01-29T04:23:53	17.35	27.8	OK
D-5F4C6	2026-01-06T07:34:58	25.88	52.3	OK
D-B61G9	2026-01-31T08:03:38	24.95	74.0	OK
D-48WEG	2026-01-08T20:12:57	27.27	74.4	FAIL
D-I47C9	2026-01-25T13:49:25	22.39	50.0	OK
D-I47C9	2026-01-21T14:23:44	29.34	56.7	OK
D-6LE9C	2026-01-16T13:08:49	23.09	35.0	WARN
D-0VEA3	2026-01-15T23:04:56	26.68	31.5	OK
D-FBQON	2026-01-17T02:35:27	22.16	55.6	WARN
D-F7WO9	2026-01-06T08:35:52	29.17	46.2	WARN
D-UGZ40	2026-01-08T18:11:44	23.69	28.7	OK
D-XVT3O	2026-01-29T11:43:32	27.76	34.1	WARN
D-P66ZV	2026-01-28T07:01:29	24.73	71.6	FAIL
D-4JDUD	2026-01-08T23:46:42	19.62	77.5	FAIL
D-MQ5GL	2026-01-31T07:37:09	28.31	26.4	FAIL
D-5F4C6	2026-01-05T20:24:57	26.07	44.1	FAIL
D-P66ZV	2026-01-17T05:59:38	28.26	35.6	OK
D-K5GYI	2026-01-14T12:00:37	19.0	74.5	OK
D-HC0DJ	2026-01-26T17:02:34	20.49	56.1	WARN
D-J9X2H	2026-01-24T22:26:40	27.5	48.9	FAIL
D-XVT3O	2026-01-13T09:37:20	19.57	64.0	OK
D-VO06V	2026-01-15T19:50:48	16.03	28.3	OK
D-K5GYI	2026-01-22T13:57:11	21.17	27.5	OK
D-P66ZV	2026-01-06T23:20:55	16.71	48.3	OK
D-F7WO9	2026-01-30T11:31:03	22.81	57.1	FAIL
D-ZVQLQ	2026-01-08T19:57:40	18.47	55.9	OK
D-ZVQLQ	2026-01-15T19:56:17	18.15	75.8	OK
D-VO06V	2026-01-29T13:52:26	25.96	56.7	FAIL
D-96IRX	2026-01-19T04:42:47	17.61	71.9	FAIL
D-48WEG	2026-01-10T11:04:55	27.37	47.4	OK
D-VO06V	2026-01-22T14:52:36	26.26	45.1	WARN
D-XVT3O	2026-01-28T04:47:15	25.83	76.7	OK
D-I47C9	2026-01-24T12:16:04	28.74	75.1	OK
D-3CJOP	2026-01-29T11:52:07	26.43	32.9	FAIL
D-K5GYI	2026-01-21T21:10:39	25.7	52.3	OK
D-FBQON	2026-01-16T17:16:08	18.73	47.1	OK
D-48WEG	2026-01-15T01:15:49	29.0	63.5	OK
D-K5GYI	2026-01-08T15:51:23	20.9	77.5	OK
D-K5GYI	2026-01-15T05:58:20	17.69	74.5	WARN
D-I47C9	2026-01-20T06:21:31	27.85	50.6	OK
D-48WEG	2026-01-01T00:41:47	22.13	79.5	WARN
D-VW8SJ	2026-01-23T18:05:25	17.44	48.6	OK
D-J9X2H	2026-01-20T22:11:28	28.23	66.9	OK
D-UGZ40	2026-01-23T06:12:48	18.2	64.6	OK
D-UGZ40	2026-01-15T06:39:44	18.95	55.1	OK
D-48WEG	2026-01-20T18:25:30	22.47	32.5	OK
D-PQZDN	2026-01-22T06:46:36	16.49	65.6	OK
D-0VEA3	2026-01-04T11:43:33	21.55	79.1	OK
D-VW8SJ	2026-01-04T05:45:50	20.46	42.0	WARN
D-VO06V	2026-01-24T10:08:39	17.77	48.0	OK
D-6LE9C	2026-01-23T16:33:08	29.84	53.2	OK
D-I47C9	2026-01-10T21:52:07	22.1	26.2	OK
D-VZBMP	2026-01-18T00:51:09	16.46	69.7	WARN
D-K4U9M	2026-01-04T03:20:32	19.33	26.6	FAIL
D-PQZDN	2026-01-23T21:03:47	19.17	72.6	OK
D-GIMRU	2026-01-03T16:34:20	27.42	64.2	WARN
D-F7WO9	2026-01-22T03:18:32	21.68	42.8	OK
D-VZBMP	2026-01-12T08:59:34	26.3	34.8	OK
D-EOXIR	2026-01-06T12:43:32	25.68	47.7	FAIL
D-VO06V	2026-01-11T17:46:49	20.69	63.6	FAIL
D-ZVQLQ	2026-01-22T02:02:17	28.79	50.6	OK
D-4JDUD	2026-01-27T21:28:50	28.45	38.2	FAIL
D-K5GYI	2026-01-17T03:53:35	22.34	35.3	OK
D-6LE9C	2026-01-22T12:48:36	28.0	66.6	FAIL
D-6LE9C	2026-01-15T09:34:43	21.0	70.8	OK
D-B61G9	2026-01-06T08:24:29	20.41	26.7	OK
D-ZVQLQ	2026-01-17T21:11:37	25.32	79.0	OK
D-4JDUD	2026-01-08T14:15:54	24.72	45.5	FAIL
D-6LE9C	2026-01-26T19:21:42	22.9	68.9	OK
D-MQ5GL	2026-01-07T03:37:29	26.81	43.9	FAIL
D-VW8SJ	2026-01-27T12:19:32	24.25	61.1	OK
D-FBQON	2026-01-20T06:42:31	24.35	73.1	OK
D-VZBMP	2026-01-21T22:01:05	16.35	46.1	OK
D-VZBMP	2026-01-17T18:55:51	16.88	29.8	FAIL
D-PQZDN	2026-01-22T16:29:06	25.73	45.0	FAIL
D-3CJOP	2026-01-24T00:58:28	28.28	38.8	OK
D-3CJOP	2026-01-04T05:57:50	27.69	34.5	OK
D-VO06V	2026-01-13T04:38:37	27.3	43.4	OK
D-I47C9	2026-01-04T05:03:20	24.74	52.1	OK
D-HC0DJ	2026-01-10T13:56:26	29.13	47.9	OK
