student_id,course,cfu,grade,exam_date
100055,Meccatronica,10,21,2023-01-05
100055,Algebra Lineare,9,22,2026-02-21
100055,Basi di Dati,9,24,2024-08-23
100055,Sistemi Operativi,8,18,2023-05-16
100056,Meccatronica,12,24,2025-11-22
100056,Calcolatori,10,29,2023-06-17
100056,Basi di Dati,12,18,2025-03-19
100057,Analisi 2,8,23,2024-01-09
100057,Calcolatori,9,24,2025-01-10
100057,Basi di Dati,9,26,2023-09-07
100058,Analisi 2,9,28,2025-05-22
100058,Analisi 1,9,19,2025-03-01
100058,Meccatronica,8,26,2025-06-25
100058,Algebra Lineare,10,24,2025-03-04
100058,Basi di Dati,8,20,2024-04-26
100059,Meccatronica,6,19,2024-01-16
100059,Sistemi Operativi,9,22,2025-03-27
100059,Analisi 1,10,27,2025-03-23
100059,Fisica 1,9,18,2023-04-05
100059,Machine Learning,8,29,2024-05-05
100060,Analisi 2,6,19,2023-08-25
100060,Analisi 1,10,18,2024-02-02
100060,Machine Learning,12,27,2023-08-04
100061,Programmazione 1,6,30,2023-02-20
100061,Analisi 1,8,27,2024-03-22
100061,Algebra Lineare,9,18,2023-03-28
100061,Calcolatori,9,27,2025-06-06
100062,Meccatronica,6,26,2024-12-07
100062,Fisica 1,9,20,2023-12-04
100062,Analisi 1,8,26,2026-06-23
100062,Programmazione 1,12,20,2026-11-04
100062,Algebra Lineare,8,23,2026-07-07
100063,Fisica 1,6,25,2023-09-05
100063,Machine Learning,10,30,2025-12-10
100063,Analisi 1,12,29,2023-02-11
100063,Sistemi Operativi,10,19,2026-05-15
100063,Analisi 2,12,29,2025-11-27
100064,Fisica 1,10,21,2023-08-22
100064,Sistemi Operativi,9,20,2023-11-16
100064,Machine Learning,6,24,2026-09-22
100064,Analisi 2,6,19,2024-07-13
100065,Meccatronica,8,23,2024-10-28
100065,Analisi 1,10,19,2024-07-24
100065,Analisi 2,10,22,2025-11-13
100065,Programmazione 1,9,25,2026-08-17
100065,Basi di Dati,9,20,2026-02-04
100066,Basi di Dati,8,18,2023-12-02
100066,Meccatronica,6,25,2023-03-13
100066,Fisica 1,12,28,2025-03-10
100066,Calcolatori,12,27,2023-02-22
100067,Basi di Dati,10,25,2025-09-11
100067,Meccatronica,12,26,2023-01-14
100067,Fisica 1,6,24,2026-06-28
100067,Analisi 2,10,25,2026-01-02
100067,Calcolatori,8,26,2025-12-06
100068,Machine Learning,10,25,2023-10-22
100068,Analisi 2,10,28,2026-08-18
100068,Algebra Lineare,8,26,2023-07-09
100068,Calcolatori,10,27,2026-10-22
100069,Algebra Lineare,12,18,2024-06-12
100069,Calcolatori,12,18,2025-07-04
100069,Programmazione 1,10,23,2025-07-12
100069,Basi di Dati,6,28,2024-04-08
100070,Algebra Lineare,6,23,2024-01-18
100070,Analisi 1,9,18,2026-11-28
100070,Sistemi Operativi,10,27,2026-05-01
100070,Machine Learning,10,27,2023-06-13
100070,Analisi 2,12,24,2025-10-04
100071,Analisi 1,12,30,2025-03-20
100071,Fisica 1,9,23,2026-04-16
100071,Calcolatori,6,26,2024-05-09
100071,Sistemi Operativi,6,22,2026-04-20
100072,Analisi 1,12,30,2026-07-07
100072,Meccatronica,9,30,2023-11-27
100072,Calcolatori,9,26,2025-07-22
100072,Analisi 2,12,23,2024-07-13
100072,Programmazione 1,9,27,2026-11-25
100073,Analisi 2,8,28,2026-05-21
100073,Programmazione 1,12,30,2026-10-24
100073,Meccatronica,6,26,2024-06-15
100073,Algebra Lineare,8,21,2024-12-22
100073,Fisica 1,9,24,2026-06-28
100074,Fisica 1,9,28,2024-05-22
100074,Machine Learning,12,21,2026-04-04
100074,Algebra Lineare,8,21,2023-04-26
100075,Basi di Dati,6,21,2024-05-05
100075,Meccatronica,6,22,2025-11-18
100075,Machine Learning,8,28,2023-12-16
100075,Fisica 1,6,18,2023-06-20
100076,Analisi 1,6,24,2024-04-04
100076,Machine Learning,12,29,2023-09-22
100076,Calcolatori,12,30,2025-08-03
100076,Basi di Dati,8,27,2023-06-11
100077,Machine Learning,6,20,2024-05-15
100077,Fisica 1,10,22,2023-08-18
100077,Meccatronica,9,29,2023-06-18
100077,Analisi 1,10,25,2024-05-26
100077,Basi di Dati,8,23,2026-12-12
100078,Programmazione 1,8,22,2026-05-21
100078,Meccatronica,9,30,2023-09-28
100078,Sistemi Operativi,8,25,2026-01-13
100078,Calcolatori,9,22,2023-04-10
100079,Analisi 2,10,30,2023-05-28
100079,Basi di Dati,6,30,2026-08-24
100079,Calcolatori,10,23,2026-02-27
100080,Algebra Lineare,9,24,2025-08-23
100080,Sistemi Operativi,6,30,2023-11-21
100080,Analisi 1,8,28,2026-11-05
100081,Machine Learning,9,27,2023-02-06
100081,Fisica 1,8,26,2024-10-22
100081,Algebra Lineare,10,30,2025-08-16
100082,Analisi 2,9,30,2025-04-03
100082,Algebra Lineare,10,23,2024-07-13
100082,Meccatronica,12,21,2023-01-18
100082,Calcolatori,12,28,2024-02-15
100082,Sistemi Operativi,8,22,2024-01-13
100083,Machine Learning,8,27,2023-01-23
100083,Algebra Lineare,12,24,2026-11-16
100083,Analisi 2,6,21,2024-04-28
100083,Programmazione 1,9,22,2026-07-05
100083,Basi di Dati,10,21,2024-05-24
100084,Fisica 1,6,22,2025-04-20
100084,Machine Learning,10,21,2025-10-22
100084,Analisi 2,10,19,2023-08-05
100084,Meccatronica,9,29,2026-11-07
100084,Analisi 1,10,29,2026-12-20
100085,Analisi 1,9,21,2026-06-20
100085,Meccatronica,12,29,2023-01-09
100085,Programmazione 1,12,27,2026-05-13
100085,Basi di Dati,9,20,2023-10-06
100086,Analisi 2,10,20,2023-06-23
100086,Sistemi Operativi,12,24,2024-05-04
100086,Basi di Dati,9,18,2024-08-28
100086,Meccatronica,9,29,2025-07-10
100087,Meccatronica,8,23,2026-03-18
100087,Algebra Lineare,10,18,2024-03-02
100087,Calcolatori,8,20,2023-08-09
100087,Fisica 1,8,29,2026-07-04
100088,Programmazione 1,12,25,2026-08-04
100088,Basi di Dati,8,19,2025-02-07
100088,Calcolatori,9,20,2024-12-17
100088,Sistemi Operativi,9,27,2024-10-01
100089,Meccatronica,10,28,2023-06-01
100089,Analisi 2,9,28,2023-07-12
100089,Machine Learning,12,19,2025-03-01
100089,Programmazione 1,6,25,2026-08-21
100089,Analisi 1,9,27,2023-06-02
100090,Meccatronica,12,20,2024-01-26
100090,Basi di Dati,9,23,2023-12-03
100090,Calcolatori,12,27,2026-02-13
100090,Sistemi Operativi,9,20,2024-07-03
100090,Machine Learning,6,21,2024-07-25
100091,Algebra Lineare,10,30,2026-12-26
100091,Analisi 2,9,28,2024-06-22
100091,Analisi 1,6,23,2024-08-15
100091,Sistemi Operativi,10,25,2025-10-20
100092,Analisi 1,8,24,2026-02-02
100092,Machine Learning,12,23,2026-11-08
100092,Calcolatori,8,25,2023-05-15
100092,Algebra Lineare,10,19,2026-05-05
100093,Algebra Lineare,9,27,2023-09-03
100093,Fisica 1,6,26,2023-09-14
100093,Machine Learning,10,19,2026-11-24
100094,Algebra Lineare,12,18,2023-12-22
100094,Calcolatori,10,20,2024-07-02
100094,Meccatronica,6,24,2025-06-19
100094,Basi di Dati,10,30,2026-10-26
100094,Programmazione 1,9,23,2024-04-06
100095,Meccatronica,10,26,2023-01-13
100095,Algebra Lineare,6,18,2024-11-16
100095,Analisi 1,10,29,2026-11-24
100096,Basi di Dati,10,30,2025-02-05
100096,Algebra Lineare,8,18,2024-02-27
100096,Calcolatori,6,29,2024-01-07
100096,Meccatronica,10,28,2024-11-08
100096,Machine Learning,10,28,2024-02-10
100097,Analisi 2,6,20,2024-12-23
100097,Basi di Dati,10,25,2026-01-28
100097,Machine Learning,10,27,2024-04-10
100097,Programmazione 1,12,24,2023-06-01
100098,Machine Learning,12,27,2025-01-16
100098,Meccatronica,10,25,2026-04-23
100098,Basi di Dati,6,26,2023-07-19
100099,Sistemi Operativi,10,25,2023-08-20
100099,Analisi 1,9,25,2026-01-06
100099,Algebra Lineare,9,29,2024-08-12
100099,Calcolatori,10,21,2024-10-22
100100,Meccatronica,10,24,2025-08-26
100100,Basi di Dati,8,27,2024-05-23
100100,Analisi 2,6,28,2026-03-06
100100,Sistemi Operativi,8,20,2026-02-26
100101,Basi di Dati,12,18,2023-06-09
100101,Algebra Lineare,9,28,2024-03-27
100101,Fisica 1,12,18,2023-06-14
100101,Analisi 1,6,27,2024-02-18
100102,Basi di Dati,9,30,2023-09-09
100102,Algebra Lineare,8,29,2023-12-02
100102,Calcolatori,10,30,2026-02-04
100103,Meccatronica,8,28,2023-04-12
100103,Analisi 1,8,29,2025-12-15
100103,Programmazione 1,12,25,2023-03-21
100103,Algebra Lineare,9,23,2024-02-28
100103,Basi di Dati,8,25,2026-01-08
100104,Calcolatori,9,23,2026-06-21
100104,Algebra Lineare,8,20,2026-04-05
100104,Analisi 2,10,24,2026-08-28
100104,Programmazione 1,12,30,2025-01-15
100105,Programmazione 1,6,23,2025-07-25
100105,Sistemi Operativi,8,24,2023-07-25
100105,Analisi 1,6,28,2024-10-02
100106,Sistemi Operativi,12,22,2025-06-01
100106,Algebra Lineare,9,26,2024-12-13
100106,Machine Learning,10,28,2024-09-20
100106,Fisica 1,12,28,2026-12-12
100106,Calcolatori,10,30,2024-05-03
100107,Sistemi Operativi,8,26,2025-04-03
100107,Calcolatori,12,26,2025-09-11
100107,Machine Learning,8,18,2023-09-19
100108,Fisica 1,6,29,2023-06-09
100108,Algebra Lineare,12,23,2023-01-25
100108,Machine Learning,6,25,2025-10-24
100108,Sistemi Operativi,6,25,2025-04-26
100109,Meccatronica,9,28,2024-12-13
100109,Sistemi Operativi,12,29,2024-02-11
100109,Fisica 1,12,27,2024-06-15
100109,Analisi 2,6,20,2026-07-03
100109,Machine Learning,6,18,2026-03-16
100110,Basi di Dati,12,24,2026-05-19
100110,Analisi 1,10,28,2026-08-23
100110,Calcolatori,10,29,2026-03-05
100111,Analisi 2,12,26,2023-12-07
100111,Basi di Dati,10,25,2023-12-06
100111,Sistemi Operativi,12,23,2023-10-28
100111,Analisi 1,10,19,2023-06-19
100111,Calcolatori,9,18,2024-02-12
100112,Calcolatori,6,30,2024-03-26
100112,Algebra Lineare,12,24,2023-05-10
100112,Sistemi Operativi,8,20,2026-01-04
100112,Fisica 1,12,23,2023-01-14
100113,Meccatronica,10,25,2024-03-17
100113,Algebra Lineare,10,30,2026-11-15
100113,Basi di Dati,8,29,2025-02-26
100113,Analisi 2,12,28,2026-07-08
100114,Calcolatori,10,29,2025-11-03
100114,Sistemi Operativi,8,29,2023-10-21
100114,Programmazione 1,9,26,2023-11-18
100114,Meccatronica,6,21,2023-10-17
100115,Basi di Dati,6,28,2024-01-09
100115,Sistemi Operativi,8,21,2026-02-26
100115,Programmazione 1,12,27,2025-07-19
100116,Basi di Dati,10,20,2026-01-28
100116,Programmazione 1,12,23,2026-05-03
100116,Calcolatori,6,19,2024-05-05
100117,Algebra Lineare,9,24,2024-01-20
100117,Analisi 1,9,20,2023-12-02
100117,Analisi 2,9,24,2023-06-05
100118,Calcolatori,6,18,2024-04-25
100118,Algebra Lineare,12,27,2024-08-17
100118,Machine Learning,12,24,2023-05-02
100118,Basi di Dati,9,25,2026-02-16
100119,Machine Learning,9,26,2023-04-25
100119,Fisica 1,12,28,2024-05-19
100119,Programmazione 1,10,25,2023-11-17
100120,Analisi 2,8,26,2026-09-15
100120,Calcolatori,6,18,2026-10-10
100120,Meccatronica,8,18,2023-08-09
100121,Algebra Lineare,8,27,2025-01-06
100121,Machine Learning,12,27,2023-05-03
100121,Calcolatori,10,29,2023-03-24
100121,Sistemi Operativi,12,22,2026-04-20
100121,Basi di Dati,12,30,2025-11-11
100122,Algebra Lineare,9,23,2024-08-20
100122,Basi di Dati,9,18,2024-11-01
100122,Meccatronica,12,25,2023-01-22
100122,Analisi 1,8,24,2026-07-18
100122,Calcolatori,6,30,2023-09-01
100123,Basi di Dati,12,23,2026-03-27
100123,Analisi 1,6,19,2026-06-07
100123,Calcolatori,10,18,2024-12-01
100123,Machine Learning,9,28,2025-04-03
100123,Fisica 1,12,28,2025-12-08
100124,Basi di Dati,9,25,2024-01-07
100124,Calcolatori,10,19,2025-10-17
100124,Programmazione 1,10,20,2024-11-24
100125,Meccatronica,6,20,2025-10-28
100125,Analisi 2,8,26,2025-04-28
100125,Analisi 1,6,29,2025-11-18
100125,Algebra Lineare,10,18,2026-11-22
100125,Basi di Dati,6,23,2026-07-09
100126,Sistemi Operativi,9,26,2023-12-08
100126,Basi di Dati,6,22,2026-09-15
100126,Meccatronica,9,18,2026-04-11
100127,Meccatronica,10,19,2024-04-06
100127,Programmazione 1,9,22,2023-11-21
100127,Fisica 1,6,18,2026-07-26
100128,Meccatronica,8,19,2026-04-11
100128,Calcolatori,6,23,2024-02-25
100128,Algebra Lineare,12,27,2026-02-21
100129,Meccatronica,6,24,2025-12-03
100129,Analisi 1,8,18,2026-01-10
100129,Sistemi Operativi,12,28,2026-02-04
100129,Programmazione 1,6,26,2023-05-28
100130,Machine Learning,12,30,2023-08-13
100130,Analisi 1,10,30,2026-10-20
100130,Meccatronica,6,23,2023-08-17
100130,Sistemi Operativi,9,27,2024-02-04
100131,Meccatronica,12,20,2025-06-14
100131,Analisi 1,10,29,2026-03-08
100131,Fisica 1,8,30,2023-01-05
100132,Meccatronica,12,26,2024-03-16
100132,Machine Learning,9,27,2025-05-12
100132,Calcolatori,6,26,2024-01-08
100132,Analisi 2,12,26,2023-07-12
100133,Fisica 1,9,21,2026-12-23
100133,Meccatronica,10,27,2025-10-19
100133,Analisi 1,9,27,2025-07-11
100134,Analisi 1,10,21,2023-11-08
100134,Basi di Dati,8,25,2024-04-16
100134,Programmazione 1,9,30,2026-04-13
100135,Programmazione 1,6,23,2023-09-04
100135,Calcolatori,8,22,2026-04-21
100135,Meccatronica,12,30,2025-01-01
100136,Fisica 1,8,22,2024-06-28
100136,Algebra Lineare,12,21,2024-04-01
100136,Analisi 2,8,22,2023-01-27
100137,Analisi 2,9,25,2024-06-26
100137,Machine Learning,9,28,2024-09-26
100137,Analisi 1,12,24,2023-02-05
100137,Meccatronica,8,30,2024-04-18
100137,Basi di Dati,10,29,2025-06-20
100138,Fisica 1,12,22,2024-06-08
100138,Programmazione 1,6,28,2025-03-28
100138,Meccatronica,12,27,2026-04-24
100138,Machine Learning,6,30,2026-11-20
100139,Analisi 2,12,23,2026-09-15
100139,Sistemi Operativi,8,23,2025-09-23
100139,Machine Learning,10,29,2026-08-09
100140,Machine Learning,10,21,2026-04-10
100140,Programmazione 1,10,24,2024-06-09
100140,Fisica 1,12,19,2024-02-10
100140,Analisi 1,10,26,2025-04-19
100140,Meccatronica,6,25,2025-07-15
100141,Machine Learning,10,23,2025-07-01
100141,Meccatronica,8,25,2024-05-21
100141,Calcolatori,6,23,2023-05-27
100141,Sistemi Operativi,12,26,2023-05-08
100142,Analisi 1,6,26,2024-06-07
100142,Meccatronica,9,22,2025-12-27
100142,Calcolatori,9,21,2024-12-24
100143,Algebra Lineare,10,24,2023-08-21
100143,Programmazione 1,12,30,2024-07-08
100143,Meccatronica,8,29,2024-08-08
100143,Analisi 2,12,27,2026-12-27
100143,Machine Learning,10,23,2023-06-28
100144,Machine Learning,10,25,2023-06-05
100144,Meccatronica,12,20,2025-12-01
100144,Fisica 1,10,30,2025-06-08
100145,Machine Learning,12,18,2023-03-05
100145,Meccatronica,9,27,2026-07-07
100145,Algebra Lineare,10,19,2026-04-16
100145,Analisi 2,6,23,2026-11-10
100146,Analisi 2,6,29,2026-01-06
100146,Analisi 1,8,19,2026-05-07
100146,Meccatronica,8,22,2023-08-02
100147,Sistemi Operativi,10,24,2024-02-05
100147,Programmazione 1,12,24,2026-12-03
100147,Analisi 2,10,21,2024-04-10
100147,Basi di Dati,10,29,2026-03-20
100148,Algebra Lineare,6,20,2026-02-27
100148,Fisica 1,10,27,2024-09-11
100148,Basi di Dati,12,25,2026-08-19
100148,Analisi 2,6,29,2023-05-21
100148,Analisi 1,10,23,2025-07-20
100149,Machine Learning,12,29,2026-08-13
100149,Fisica 1,8,29,2023-07-23
100149,Analisi 2,6,21,2024-05-21
100150,Algebra Lineare,12,19,2025-02-25
100150,Analisi 1,6,26,2025-07-15
100150,Fisica 1,8,22,2024-09-02
100150,Basi di Dati,10,18,2023-11-23
100150,Machine Learning,10,24,2025-12-13
100151,Machine Learning,9,19,2024-06-22
100151,Programmazione 1,10,25,2026-02-03
100151,Sistemi Operativi,12,28,2024-12-15
100152,Basi di Dati,8,18,2023-03-10
100152,Algebra Lineare,6,26,2026-03-03
100152,Analisi 2,6,28,2025-03-15
100153,Analisi 2,12,21,2026-12-02
100153,Fisica 1,12,28,2023-07-23
100153,Programmazione 1,9,25,2023-10-01
100153,Calcolatori,6,30,2026-04-08
100154,Fisica 1,10,18,2023-06-27
100154,Meccatronica,8,28,2023-04-04
100154,Analisi 1,8,29,2024-01-14
100154,Programmazione 1,12,19,2025-06-18
100155,Fisica 1,8,21,2023-06-11
100155,Meccatronica,8,18,2026-11-11
100155,Machine Learning,6,24,2024-08-08
100155,Sistemi Operativi,6,28,2025-11-20
100155,Programmazione 1,9,18,2023-04-14
100156,Meccatronica,12,30,2024-05-04
100156,Basi di Dati,12,23,2026-11-25
100156,Analisi 1,8,23,2024-11-25
100156,Calcolatori,9,28,2026-02-11
100157,Meccatronica,12,28,2024-09-19
100157,Basi di Dati,6,21,2023-10-25
100157,Machine Learning,6,22,2024-12-14
100158,Meccatronica,8,23,2026-05-07
100158,Analisi 1,8,24,2024-11-02
100158,Programmazione 1,8,29,2026-12-11
100159,Algebra Lineare,12,30,2026-11-27
100159,Calcolatori,9,30,2023-04-28
100159,Programmazione 1,9,23,2024-04-18
100160,Fisica 1,12,23,2024-08-21
100160,Meccatronica,6,19,2026-02-07
100160,Machine Learning,6,28,2024-04-05
100161,Analisi 2,8,26,2023-07-24
100161,Sistemi Operativi,10,22,2024-12-07
100161,Fisica 1,8,24,2024-10-08
100162,Algebra Lineare,10,19,2025-07-13
100162,Basi di Dati,8,25,2026-07-17
100162,Fisica 1,12,29,2026-03-27
100162,Analisi 2,10,18,2026-07-28
100163,Algebra Lineare,12,29,2024-05-13
100163,Sistemi Operativi,10,22,2026-05-13
100163,Analisi 2,12,27,2026-02-11
100164,Basi di Dati,8,18,2023-09-24
100164,Fisica 1,9,25,2026-07-13
100164,Analisi 2,9,24,2026-05-21
100165,Analisi 1,12,20,2024-07-09
100165,Machine Learning,9,26,2026-11-23
